MEDV,CRIM,INDUS,CHAS,NOX,RM,PTRATIO
24.0,0.00632,2.31,0,0.538,6,15.3
21.6,0.02731,7.07,0,0.469,6,17.8
34.7,0.02729,7.07,0,0.469,7,17.8
33.4,0.03237,2.18,0,0.458,6,18.7
36.2,0.06905,2.18,0,0.458,7,18.7
28.7,0.02985,2.18,0,0.458,6,18.7
22.9,0.08829,7.87,0,0.524,6,15.2
22.1,0.14455,7.87,0,0.524,6,15.2
16.5,0.21124,7.87,0,0.524,5,15.2
18.9,0.17004,7.87,0,0.524,6,15.2
15.0,0.22489,7.87,0,0.524,6,15.2
18.9,0.11747,7.87,0,0.524,6,15.2
21.7,0.09378,7.87,0,0.524,5,15.2
20.4,0.62976,8.14,0,0.538,5,21.0
18.2,0.63796,8.14,0,0.538,6,21.0
19.9,0.62739,8.14,0,0.538,5,21.0
23.1,1.05393,8.14,0,0.538,5,21.0
17.5,0.7842,8.14,0,0.538,5,21.0
20.2,0.80271,8.14,0,0.538,5,21.0
18.2,0.7258,8.14,0,0.538,5,21.0
13.6,1.25179,8.14,0,0.538,5,21.0
19.6,0.85204,8.14,0,0.538,5,21.0
15.2,1.23247,8.14,0,0.538,6,21.0
14.5,0.98843,8.14,0,0.538,5,21.0
15.6,0.75026,8.14,0,0.538,5,21.0
13.9,0.84054,8.14,0,0.538,5,21.0
16.6,0.67191,8.14,0,0.538,5,21.0
14.8,0.95577,8.14,0,0.538,6,21.0
18.4,0.77299,8.14,0,0.538,6,21.0
21.0,1.00245,8.14,0,0.538,6,21.0
12.7,1.13081,8.14,0,0.538,5,21.0
14.5,1.35472,8.14,0,0.538,6,21.0
13.2,1.38799,8.14,0,0.538,5,21.0
13.1,1.15172,8.14,0,0.538,5,21.0
13.5,1.61282,8.14,0,0.538,6,21.0
18.9,0.06417,5.96,0,0.499,5,19.2
20.0,0.09744,5.96,0,0.499,5,19.2
21.0,0.08014,5.96,0,0.499,5,19.2
24.2,0.17505,5.96,0,0.499,5,19.2
30.8,0.02763,2.95,0,0.428,6,18.3
34.9,0.03359,2.95,0,0.428,7,18.3
26.6,0.12744,6.91,0,0.448,6,17.9
25.3,0.1415,6.91,0,0.448,6,17.9
24.7,0.15936,6.91,0,0.448,6,17.9
21.2,0.12269,6.91,0,0.448,6,17.9
19.3,0.17142,6.91,0,0.448,5,17.9
20.0,0.18836,6.91,0,0.448,5,17.9
16.6,0.22927,6.91,0,0.448,6,17.9
14.4,0.25387,6.91,0,0.448,5,17.9
19.4,0.21977,6.91,0,0.448,5,17.9
19.7,0.08873,5.64,0,0.439,5,16.8
20.5,0.04337,5.64,0,0.439,6,16.8
25.0,0.0536,5.64,0,0.439,6,16.8
23.4,0.04981,5.64,0,0.439,5,16.8
18.9,0.0136,4.0,0,0.41,5,21.1
35.4,0.01311,1.22,0,0.403,7,17.9
24.7,0.02055,0.74,0,0.41,6,17.3
